name,time,value
humidity,1657996756379066390,50
humidity,1657996765641291936,50
humidity,1657996774896271795,50
humidity,1657996784157939470,50
humidity,1657996793411672545,50
humidity,1657996802671349180,50
humidity,1657996811942410822,50
humidity,1657996821209501244,50
humidity,1657996830477441054,50
humidity,1657996839730113265,50
humidity,1657996848995041301,50
humidity,1657996858270351427,50
humidity,1657996867542750218,50
humidity,1657996876813555695,50
humidity,1657996886091636900,50
humidity,1657996895355011037,50
humidity,1657996904618108896,50
humidity,1657996913882870454,50
humidity,1657996923147708294,50
humidity,1657996932407870111,50
humidity,1657996941680948012,50
humidity,1657996950956873219,49
humidity,1657996960213290474,50
humidity,1657996969484858235,50
humidity,1657996978754899007,50
humidity,1657996988013986356,50
humidity,1657996997275681619,50
humidity,1657997006537917925,50
humidity,1657997015799956893,50
humidity,1657997025063116810,50
humidity,1657997034331998596,50
humidity,1657997043590596827,49
humidity,1657997052861223661,49
humidity,1657997062117444779,49
humidity,1657997071387295303,50
humidity,1657997080651982957,50
humidity,1657997089892208324,50
humidity,1657997099150818677,50
humidity,1657997108410295303,50
humidity,1657997117672581246,50
humidity,1657997126936244773,50
humidity,1657997136199508429,50
humidity,1657997145458558913,50
humidity,1657997154720124455,50
humidity,1657997163972867364,50
humidity,1657997173229424245,50
humidity,1657997182492566271,50
humidity,1657997191747524934,49
humidity,1657997201006732482,49
humidity,1657997210271775210,49
humidity,1657997219542702050,49
humidity,1657997228807663304,49
humidity,1657997238087804654,49
humidity,1657997247354330508,50
humidity,1657997256609927077,50
humidity,1657997265892754480,50
humidity,1657997275151128844,50
humidity,1657997284410638264,50
humidity,1657997293674026866,50
humidity,1657997302947839998,50
humidity,1657997312219767002,49
humidity,1657997321522993278,49
humidity,1657997330792380586,49
humidity,1657997340062036736,49
humidity,1657997349317934414,50
humidity,1657997358568640095,50
humidity,1657997367823409794,49
humidity,1657997377082259267,50
humidity,1657997386340180863,49
humidity,1657997395608231704,49
humidity,1657997404863323684,49
humidity,1657997414116390531,49
humidity,1657997423377277557,49
humidity,1657997432651455362,49
humidity,1657997441923881229,49
humidity,1657997451178288796,49
humidity,1657997460428355566,50
humidity,1657997469700494776,50
humidity,1657997478960447467,50
humidity,1657997488230587466,50
humidity,1657997497486598674,50
humidity,1657997506767796393,50
humidity,1657997516036329644,49
humidity,1657997525301677994,49
humidity,1657997534558072809,49
humidity,1657997543832254986,49
humidity,1657997553111675649,49
humidity,1657997562369864245,49
humidity,1657997571629858061,49
humidity,1657997580897389963,50
humidity,1657997590151797528,50
humidity,1657997599423792547,49
humidity,1657997608681014072,49
humidity,1657997617935031729,49
humidity,1657997627198934136,49
humidity,1657997636456078905,49
humidity,1657997645710001544,50
humidity,1657997654975083489,49
humidity,1657997664258903443,50
humidity,1657997673523267471,49
humidity,1657997682790364983,49
humidity,1657997692048139867,49
humidity,1657997701312000302,49
humidity,1657997710566316554,49
humidity,1657997719818004162,49
humidity,1657997729086244350,49
humidity,1657997738387911551,49
humidity,1657997750597732722,49
humidity,1657997756897615690,49
humidity,1657997771062654318,49
humidity,1657997775441233958,49
humidity,1657997793965733910,49
humidity,1657997803240061894,49
humidity,1657997812504570166,49
humidity,1657997821770837258,49
humidity,1657997831047674777,49
humidity,1657997840309895876,50
humidity,1657997849558819139,50
humidity,1657997858810781266,50
humidity,1657997868081465571,50
humidity,1657997877356318598,51
humidity,1657997886610915748,51
humidity,1657997895893938742,50
humidity,1657997905169480436,51
humidity,1657997914446954585,51
humidity,1657997923698476746,51
humidity,1657997932975276593,51
humidity,1657997942264679562,51
humidity,1657997951532013094,50
humidity,1657997960796909170,50
humidity,1657997970049113795,50
humidity,1657997979329147940,50
humidity,1657997988607398145,50
humidity,1657997997861821568,50
humidity,1657998007126315129,50
humidity,1657998016384421132,49
humidity,1657998025645361467,50
humidity,1657998034889240416,50
humidity,1657998044156424941,50
humidity,1657998053434233739,50
humidity,1657998062711654318,49
humidity,1657998071995545196,49
humidity,1657998081264640123,49
humidity,1657998090528353749,50
humidity,1657998099788508237,50
humidity,1657998109048830708,50
humidity,1657998118308417874,50
humidity,1657998127579405955,50
humidity,1657998136842698453,50
humidity,1657998146111868669,50
humidity,1657998155377109711,50
humidity,1657998164649884296,49
humidity,1657998173889201869,50
humidity,1657998183137898065,50
humidity,1657998192396681185,50
humidity,1657998201662112696,50
humidity,1657998210926423465,50
humidity,1657998220198979290,50
humidity,1657998229458994407,50
humidity,1657998238722520634,50
humidity,1657998248001739033,50
humidity,1657998257277973393,50
humidity,1657998266525065293,50
humidity,1657998275787052860,50
humidity,1657998285049866468,50
humidity,1657998294313434737,50
humidity,1657998303565122179,50
humidity,1657998312817267704,50
humidity,1657998322073296897,50
humidity,1657998331326006564,50
humidity,1657998340598466703,50
humidity,1657998349866911595,50
humidity,1657998359138382510,50
humidity,1657998368396307086,50
humidity,1657998377653566855,50
humidity,1657998386923507473,50
humidity,1657998396183586899,50
humidity,1657998405431621720,50
humidity,1657998414699498814,50
humidity,1657998423959602717,50
humidity,1657998433225574875,50
humidity,1657998442482694265,49
humidity,1657998451750673923,50
humidity,1657998461007701515,49
humidity,1657998470271411521,49
humidity,1657998479525269509,49
humidity,1657998488791955515,49
humidity,1657998498075531348,49
humidity,1657998507347934805,49
